Perturbed dimension,Perturbed dimension display,Threshold perturbation,Threshold delta,Weight perturbation,Weight delta,Applied T_R,Applied T_A,T_C_direct,T_C_review,T_R clipped,T_A clipped,New target weight,Admitted,Delta admitted,Not admitted,Delta not admitted,Admission flips,Admission flip rate,Decision-category flips,Lost admissions,New admissions,Lost client IDs,New client IDs,Admitted-set Jaccard,Direct auto-accept,Review accept,Remediate,Auto-reject
data_quality,Data Quality,-20%,-0.2,-10%,-0.1,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.225,12,0,8,0,0,0.0,7,0,0,,,1.0,12,0,4,4
data_quality,Data Quality,-20%,-0.2,0%,0.0,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.25,12,0,8,0,0,0.0,7,0,0,,,1.0,12,0,4,4
data_quality,Data Quality,-20%,-0.2,+10%,0.1,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.275,12,0,8,0,0,0.0,7,0,0,,,1.0,12,0,4,4
data_quality,Data Quality,-20%,-0.2,+20%,0.2,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.30000000000000004,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-20%,-0.2,+30%,0.3,2.4000000000000004,3.2,3.2,2.8000000000000003,False,False,0.325,12,0,8,0,0,0.0,11,0,0,,,1.0,12,0,8,0
data_quality,Data Quality,-10%,-0.1,-30%,-0.3,2.7,3.6,3.6,3.1500000000000004,False,False,0.17500000000000002,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
data_quality,Data Quality,-10%,-0.1,-20%,-0.2,2.7,3.6,3.6,3.1500000000000004,False,False,0.2,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
data_quality,Data Quality,-10%,-0.1,-10%,-0.1,2.7,3.6,3.6,3.1500000000000004,False,False,0.225,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
data_quality,Data Quality,-10%,-0.1,0%,0.0,2.7,3.6,3.6,3.1500000000000004,False,False,0.25,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
data_quality,Data Quality,-10%,-0.1,+10%,0.1,2.7,3.6,3.6,3.1500000000000004,False,False,0.275,12,0,8,0,0,0.0,1,0,0,,,1.0,6,6,4,4
