Omitted dimension,Omitted dimension display,Was critical dimension,Client,Baseline admitted,Ablated admitted,Admission status changed,Baseline decision,Ablated decision,Decision category changed,Baseline HPS,Ablated HPS,Delta HPS,Baseline critical HPS,Ablated critical HPS,Delta critical HPS,Baseline critical minimum,Ablated critical minimum
timeliness,Timeliness,False,client_012,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.058823529411765,0.008823529411765119,3.0714285714285716,3.0714285714285716,0.0,2.0,2.0
timeliness,Timeliness,False,client_013,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.3,2.3529411764705883,0.05294117647058849,2.428571428571429,2.4285714285714284,-4.440892098500626e-16,1.0,1.0
timeliness,Timeliness,False,client_014,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.705882352941177,0.10588235294117698,4.857142857142858,4.857142857142857,-8.881784197001252e-16,4.0,4.0
timeliness,Timeliness,False,client_015,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.7142857142857144,-4.440892098500626e-16,3.0,3.0
timeliness,Timeliness,False,client_016,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.2375,2.2794117647058827,0.04191176470588287,2.3392857142857144,2.3392857142857144,0.0,1.0,1.0
timeliness,Timeliness,False,client_017,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.294117647058824,0.04411764705882426,4.357142857142857,4.357142857142857,0.0,4.0,4.0
timeliness,Timeliness,False,client_018,False,False,False,AUTO_REJECT,AUTO_REJECT,False,2.9875,2.985294117647059,-0.0022058823529409466,2.982142857142857,2.982142857142857,0.0,2.0,2.0
timeliness,Timeliness,False,client_019,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.5,3.588235294117647,0.08823529411764719,3.714285714285715,3.7142857142857144,-4.440892098500626e-16,3.0,3.0
regulatory,Regulatory,True,client_000,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.6,4.529411764705882,-0.0705882352941174,4.857142857142858,4.818181818181818,-0.03896103896103931,4.0,4.0
regulatory,Regulatory,True,client_001,True,True,False,ACCEPT_AFTER_AUTOMATED_REVIEW,ACCEPT_AFTER_AUTOMATED_REVIEW,False,3.4375,3.5147058823529416,0.07720588235294157,3.6250000000000004,3.7954545454545454,0.17045454545454497,3.0,3.0
regulatory,Regulatory,True,client_002,False,False,False,REMEDIATE,REMEDIATE,False,3.05,3.235294117647059,0.18529411764705905,3.0714285714285716,3.3636363636363638,0.29220779220779214,2.0,2.0
regulatory,Regulatory,True,client_003,True,True,False,DIRECT_AUTO_ACCEPT,DIRECT_AUTO_ACCEPT,False,4.25,4.294117647058824,0.04411764705882426,4.357142857142857,4.454545454545455,0.09740259740259827,4.0,4.0
