seed,final_pr_auc,final_f1,avg_noise,total_comm_bytes,total_energy_uj,energy_measured_rounds,energy_expected_rounds,energy_complete,energy_measurement_methods,avg_comm_per_round_bytes,avg_energy_per_round_uj,total_crypto_operation_ms,avg_crypto_operation_ms_per_round,total_crypto_setup_ms,cumulative_session_key_processing_ms,one_time_enrollment_setup_ms,round_execution_runtime_s,end_to_end_runtime_including_setup_s,mean_observed_relative_decryption_error,mean_aggregate_relative_error,max_aggregate_relative_error,max_aggregate_abs_error,aggregate_fidelity_checks,aggregate_fidelity_failures,n_rounds
7,0.7280703524581961,0.7196652719665272,,192000.0,,0,20,False,not_reported,9600.0,,0.0,0.0,0.0,0.0,0.0,19.072033076000253,19.072033076000253,,0.0,0.0,0.0,20,0,20
11,0.7281488035929716,0.7196652719665272,,192000.0,,0,20,False,not_reported,9600.0,,0.0,0.0,0.0,0.0,0.0,19.55851577100043,19.55851577100043,,0.0,0.0,0.0,20,0,20
19,0.7281166723766804,0.7196652719665272,,192000.0,,0,20,False,not_reported,9600.0,,0.0,0.0,0.0,0.0,0.0,21.922480134999205,21.922480134999205,,0.0,0.0,0.0,20,0,20
23,0.7277129824204979,0.7196652719665272,,192000.0,,0,20,False,not_reported,9600.0,,0.0,0.0,0.0,0.0,0.0,22.57492315500008,22.57492315500008,,0.0,0.0,0.0,20,0,20
42,0.7278536006729349,0.7196652719665272,,192000.0,,0,20,False,not_reported,9600.0,,0.0,0.0,0.0,0.0,0.0,20.349756128999843,20.349756128999843,,0.0,0.0,0.0,20,0,20
