sequence,event_id,ledger_id,timestamp,protocol_version,record_type,scenario,approach,mode,transaction_id,client_id,version,template,dataset_version,dataset_commitment,data_summary_hash,evidence_bundle_hash,evidence_bundle_artifact_hash,evidence_bundle_artifact_relpath,validator_version,rubric_version,governance_policy_version,evidence_manifest_hash,evidence_hash,data_manifest_hash,data_manifest_validation_hash,metadata_validation_status,dimension_scores,final_governance_values_hash,pscore,policy_profile_id,hps_accept_threshold,hps_reject_threshold,critical_profile_review_threshold,critical_profile_threshold_applied,critical_profile_threshold_name,critical_dimension_threshold,critical_dimensions,critical_hps,critical_dimension_min,arq_boundary_policy,arq_region,review_policy_id,review_recommendation,review_reason_code,review_reason_text,governance_archetype,risk_archetype,initial_action,final_action,action,review_outcome,manual_review_required,manual_review_disposition,safe_default_applied,current_session_eligibility,reassessment_eligibility,n_samples,position,percentile,cia_confidentiality,cia_integrity,cia_availability,cia_high_water,business_impact,client_required_security_class,client_required_security_tier,security_class,security_tier,computed_strictest_security_class,computed_strictest_security_tier,current_survivor_strictest_class,current_survivor_strictest_tier,session_locked_security_class,session_locked_security_tier,session_profile_locked,admission_receipt_hash,admission_receipt_signature_hash,admission_receipt_artifact_hash,admission_receipt_artifact_relpath,admission_expires_at,session_id,session_epoch,parent_session_id,parent_session_security_decision_hash,session_reform_reason,session_security_decision_hash,session_security_decision_signature_hash,session_decision_artifact_hash,session_decision_artifact_relpath,session_decision_expires_at,risk_assessment_hash,revocation_status,execution_mode,requested_benchmark_tier,round_id,event_status,verification_stage,violation_type,reason_code,violation_details,signature_verified,freshness_verified,pofc_verified,semantic_verified,rate_limit_ok,blocked_before_aggregation,payload_hash,envelope_hash,key_id,signature_hash,global_model_hash,model_schema_hash,crypto_mechanism,crypto_backend,parameter_set_id,key_tag,expanded,ks_applied,shares_available,shares_required,can_finalize,comm_factor,crypto_overhead_ms,noise_std,ciphertext_commitment,evaluation_key_commitment,ciphertext_attestation_artifact_hash,ciphertext_attestation_artifact_relpath,submission_artifact_hash,submission_artifact_relpath,artifact_type,artifact_id,artifact_hash,artifact_relpath,local_ledger_id,local_event_hash,local_ledger_head_hash,crypto_ledger_id,crypto_event_hash,crypto_ledger_head_hash,subledger_manifest_hash,subledger_seal_count,prev_hash,row_hash,bundle_hash,checkpoint_signature
1,a2bfb3d2909674d6cc650d4a815224ec,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:44.710318+00:00,TADP-SEC/12.1,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_019,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,47dd2e58be138865a6d591a63329509757be6b563afb2badb96beb09eac726e5,56b4fb2affa245e3487f6c928dcaeeb1807d9c1774377c9ea8c19b6c12c04b5f,0b63224f5f8fc55ac0508e4e5f3111057514756b17908c70a0a45838a39423a8,13399fb1f3fbd33186ef46eb11234353e247a77c5802a087ce3480fa51fa1de5,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,35de995b0c4290be5f601a67b019e1947579d2965559dafbd60d21667bfcebc8,abf27cb6a6eea944b7190190b3c5c2ab4637b6b7fcd670b80d5ffd3405f96a05,,,2026-08-23T17:18:04.591571+00:00,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,02a004077765517e54657a1072e98c5ff8b30be1276296850f021743aa43481c,78017c76e31288027c7db8223d4e56a84da9c1b408d2bc35093da2930a70d20b,,,2026-08-22T18:40:43.929834+00:00,eb562985f77fc8a152d2d22d15bfd3f4695b107bdaa4c375fc5dde2be0f10805,active,,,1,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,VtoaWC7W7Z6DySM8uCZ3MB7zEdgjOHF018Q++zSBbU0=,f0f40a7c062a0b4e249a0f06f6d40b6438be11fc0d6de3bb47ff4af6f1678231,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,40a6edfe84fcf41da5db12069b4c5449bb95e97c88ab528f226302641d1582f1,ij0QXzakTpJwf7kWURZWDMrtf3FvVItAm3+CdvSVB30=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,,,,,,,,,,,,,,,,,48c4f9f7543bf51912de0c146c5776719cf05b2fecb9ddad3764c5c199d07c28,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_019_r1_f0f40a7c062a0b4e__48c4f9f7543bf519.json,,,,,,,,,,,,,44ab1e2cb734b6182be12a19db4964d56bcaff5b867a444ffd8264d5f26f71d0,a717a62e99d09834f0c10fc2985e82dc21c3a7acccc1364f7d47257feb77ec8b,,
2,422e4e643b81a537ca38a605550881d2,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:44.724740+00:00,TADP-SEC/12.1,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,,,,,,,,,,1,VERIFIED,,,,,True,,,,,False,VtoaWC7W7Z6DySM8uCZ3MB7zEdgjOHF018Q++zSBbU0=,f0f40a7c062a0b4e249a0f06f6d40b6438be11fc0d6de3bb47ff4af6f1678231,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,38cafc2867b9dc9a06ebc5e0594805a6d4ee7f5119cfec85fb1b9f1dab402ea9,ij0QXzakTpJwf7kWURZWDMrtf3FvVItAm3+CdvSVB30=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f62b50d3caea7cf4611c959678972abe038d2491a4a70a626fc75d5554207aa0,,d47ce08eb1d68fb7892a2eca788d9071bc9ce17ef0a4b33995119cc96048f178,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_019_r1_9aa7baa5e9d12038__d47ce08eb1d68fb7.json,,,,,,,,,,,,,,,a717a62e99d09834f0c10fc2985e82dc21c3a7acccc1364f7d47257feb77ec8b,56c6001eb5e3e55805c64048e62ad3b8bf2876b7cd23bbb9349d551565629169,,
3,bd74d2bf405419b10aa68204d5dda597,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:45.649841+00:00,TADP-SEC/12.1,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_019,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,47dd2e58be138865a6d591a63329509757be6b563afb2badb96beb09eac726e5,56b4fb2affa245e3487f6c928dcaeeb1807d9c1774377c9ea8c19b6c12c04b5f,0b63224f5f8fc55ac0508e4e5f3111057514756b17908c70a0a45838a39423a8,13399fb1f3fbd33186ef46eb11234353e247a77c5802a087ce3480fa51fa1de5,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,35de995b0c4290be5f601a67b019e1947579d2965559dafbd60d21667bfcebc8,abf27cb6a6eea944b7190190b3c5c2ab4637b6b7fcd670b80d5ffd3405f96a05,,,2026-08-23T17:18:04.591571+00:00,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,02a004077765517e54657a1072e98c5ff8b30be1276296850f021743aa43481c,78017c76e31288027c7db8223d4e56a84da9c1b408d2bc35093da2930a70d20b,,,2026-08-22T18:40:43.929834+00:00,eb562985f77fc8a152d2d22d15bfd3f4695b107bdaa4c375fc5dde2be0f10805,active,,,2,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,e2EuAvFUxDA+0D7hNime/fLgcxvVq5yFBj3r4qKRiQU=,51a4dc75189372aaede5c51341ff1be024cc393c89eca9570ce94897a34a0fdf,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,01adc5f64962291a5ce8a919b0edab51ed9851a4c31251ac987de86b38c22c3f,5rQsZWSgAG6xFg6IXDX3b6hyQfj5IFIsi5ychQ5NgCU=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,,,,,,,,,,,,,,,,,14f75879f1d22d6626f68c19b92b6abedea94a41fe83a5e88a4bc66337c92a94,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_019_r2_51a4dc75189372aa__14f75879f1d22d66.json,,,,,,,,,,,,,56c6001eb5e3e55805c64048e62ad3b8bf2876b7cd23bbb9349d551565629169,bbd2af1d011cb88fa1e58df9308669314cc7e501d9a77ed75ba0bac4fb7d91a5,,
4,125bf59908f9b60e358e67d6a0fb08cb,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:45.663002+00:00,TADP-SEC/12.1,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,,,,,,,,,,2,VERIFIED,,,,,True,,,,,False,e2EuAvFUxDA+0D7hNime/fLgcxvVq5yFBj3r4qKRiQU=,51a4dc75189372aaede5c51341ff1be024cc393c89eca9570ce94897a34a0fdf,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,46ab2d38ecd09751ec55b0a9cf183c6e52361bc9416ca2273ccffa4c5c5d5a1f,5rQsZWSgAG6xFg6IXDX3b6hyQfj5IFIsi5ychQ5NgCU=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f62b50d3caea7cf4611c959678972abe038d2491a4a70a626fc75d5554207aa0,,f8e8b3dbf91585fd009a0e1c6bf486c59ff4f89dccb2cf19d11583c158b94827,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_019_r2_ddaa5802e3b665d8__f8e8b3dbf91585fd.json,,,,,,,,,,,,,,,bbd2af1d011cb88fa1e58df9308669314cc7e501d9a77ed75ba0bac4fb7d91a5,b66c713169bb05ec60c789fe3a0a788a064c008e315a40b8d64adf0707531f9a,,
5,4cc5a5c1b67f0be017bad1f4b3db9d09,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:46.574916+00:00,TADP-SEC/12.1,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_019,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,47dd2e58be138865a6d591a63329509757be6b563afb2badb96beb09eac726e5,56b4fb2affa245e3487f6c928dcaeeb1807d9c1774377c9ea8c19b6c12c04b5f,0b63224f5f8fc55ac0508e4e5f3111057514756b17908c70a0a45838a39423a8,13399fb1f3fbd33186ef46eb11234353e247a77c5802a087ce3480fa51fa1de5,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,35de995b0c4290be5f601a67b019e1947579d2965559dafbd60d21667bfcebc8,abf27cb6a6eea944b7190190b3c5c2ab4637b6b7fcd670b80d5ffd3405f96a05,,,2026-08-23T17:18:04.591571+00:00,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,02a004077765517e54657a1072e98c5ff8b30be1276296850f021743aa43481c,78017c76e31288027c7db8223d4e56a84da9c1b408d2bc35093da2930a70d20b,,,2026-08-22T18:40:43.929834+00:00,eb562985f77fc8a152d2d22d15bfd3f4695b107bdaa4c375fc5dde2be0f10805,active,,,3,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,mO5k8RoqhuwVjIvDsXJmmFlMhj9SBA5mgspUtIuUUvU=,aa8fc12db7449ccc9e12facf837442055e2028effc7f7a9b828500b044478ced,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,537dabb5239912b93d21619e33067be59fe9ae119d43b03be0ef1b48f494874e,hM/8TeU9e9tsEzixitYqEFbggOmbUVuwaOB2cbst3Nc=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,,,,,,,,,,,,,,,,,50cf9750f15213e73bd809e7b2d551c9d34aa5c74d64b6162b423352c5cce8ab,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_019_r3_aa8fc12db7449ccc__50cf9750f15213e7.json,,,,,,,,,,,,,b66c713169bb05ec60c789fe3a0a788a064c008e315a40b8d64adf0707531f9a,e07595693d4f923a19034f1009bc2b47568880b43bb1d00cb2c76c411e8e9499,,
6,4b323c4d1173c6dfb257192c16a0251b,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:46.595971+00:00,TADP-SEC/12.1,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,,,,,,,,,,3,VERIFIED,,,,,True,,,,,False,mO5k8RoqhuwVjIvDsXJmmFlMhj9SBA5mgspUtIuUUvU=,aa8fc12db7449ccc9e12facf837442055e2028effc7f7a9b828500b044478ced,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,9fbdb8f49853a806e439552a9d73dd2b3b4172fbcc4b633cbf7a8c7b73daa3ec,hM/8TeU9e9tsEzixitYqEFbggOmbUVuwaOB2cbst3Nc=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f62b50d3caea7cf4611c959678972abe038d2491a4a70a626fc75d5554207aa0,,ff4e6f5b969d1de2cdb9b9b7645805ae2475240ebbcfdc12ebe946c3a09627bf,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_019_r3_22e9eb2a7615c68a__ff4e6f5b969d1de2.json,,,,,,,,,,,,,,,e07595693d4f923a19034f1009bc2b47568880b43bb1d00cb2c76c411e8e9499,eede811ca540d3d05309625b9706795468bf43fc5e4722143936755e88c0b059,,
7,22482bb1b7a2baa4bef93d16241aa83d,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:47.875900+00:00,TADP-SEC/12.1,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_019,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,47dd2e58be138865a6d591a63329509757be6b563afb2badb96beb09eac726e5,56b4fb2affa245e3487f6c928dcaeeb1807d9c1774377c9ea8c19b6c12c04b5f,0b63224f5f8fc55ac0508e4e5f3111057514756b17908c70a0a45838a39423a8,13399fb1f3fbd33186ef46eb11234353e247a77c5802a087ce3480fa51fa1de5,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,35de995b0c4290be5f601a67b019e1947579d2965559dafbd60d21667bfcebc8,abf27cb6a6eea944b7190190b3c5c2ab4637b6b7fcd670b80d5ffd3405f96a05,,,2026-08-23T17:18:04.591571+00:00,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,02a004077765517e54657a1072e98c5ff8b30be1276296850f021743aa43481c,78017c76e31288027c7db8223d4e56a84da9c1b408d2bc35093da2930a70d20b,,,2026-08-22T18:40:43.929834+00:00,eb562985f77fc8a152d2d22d15bfd3f4695b107bdaa4c375fc5dde2be0f10805,active,,,4,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,2XBZF15im8UwvCoFTdoVUiKnyQGY8X7XxxluK4W974U=,78f642f14156a5a10d7ac589edf794e6d892605e6996662f8c83160dff05bd17,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,41ef8a03e8dc753f870f8cfb85385e2b64e5c4c9326b695a9213da4082e24e38,JmS2pVw78VZgr3pUL50eg3pMlHe5ma1ixzMGcdSPC+Y=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,,,,,,,,,,,,,,,,,74ee060157db2148116d3ec6b86a3eefdff18ebd75a73a0ed18c00f658644f5a,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_019_r4_78f642f14156a5a1__74ee060157db2148.json,,,,,,,,,,,,,eede811ca540d3d05309625b9706795468bf43fc5e4722143936755e88c0b059,aa1c8e8734c98e2992de3ea8449de07cf52149468eb6a011c040089d05a4c765,,
8,b7f731d30b0c105134a33340256a2d51,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:47.893348+00:00,TADP-SEC/12.1,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,,,,,,,,,,4,VERIFIED,,,,,True,,,,,False,2XBZF15im8UwvCoFTdoVUiKnyQGY8X7XxxluK4W974U=,78f642f14156a5a10d7ac589edf794e6d892605e6996662f8c83160dff05bd17,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,98dd0d5dbedef2996f521512169b4ce38d348776270690adcecc8b1f443f66a0,JmS2pVw78VZgr3pUL50eg3pMlHe5ma1ixzMGcdSPC+Y=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f62b50d3caea7cf4611c959678972abe038d2491a4a70a626fc75d5554207aa0,,e47cb568749dcee1444f2b9b0c66494cf834dd2b505c6c95ede8aefd9dde4f3f,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_019_r4_9652d4a416ecc05c__e47cb568749dcee1.json,,,,,,,,,,,,,,,aa1c8e8734c98e2992de3ea8449de07cf52149468eb6a011c040089d05a4c765,c6d15a97411ab01d84ee6d66ed5a4630c57d7e0ab6d1de71fc2a4cdeb3d4e89f,,
9,83a6e742e063c47d19ca18e2d3b9f9f8,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:49.069481+00:00,TADP-SEC/12.1,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_019,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,47dd2e58be138865a6d591a63329509757be6b563afb2badb96beb09eac726e5,56b4fb2affa245e3487f6c928dcaeeb1807d9c1774377c9ea8c19b6c12c04b5f,0b63224f5f8fc55ac0508e4e5f3111057514756b17908c70a0a45838a39423a8,13399fb1f3fbd33186ef46eb11234353e247a77c5802a087ce3480fa51fa1de5,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,35de995b0c4290be5f601a67b019e1947579d2965559dafbd60d21667bfcebc8,abf27cb6a6eea944b7190190b3c5c2ab4637b6b7fcd670b80d5ffd3405f96a05,,,2026-08-23T17:18:04.591571+00:00,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,02a004077765517e54657a1072e98c5ff8b30be1276296850f021743aa43481c,78017c76e31288027c7db8223d4e56a84da9c1b408d2bc35093da2930a70d20b,,,2026-08-22T18:40:43.929834+00:00,eb562985f77fc8a152d2d22d15bfd3f4695b107bdaa4c375fc5dde2be0f10805,active,,,5,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,jHlvnj/dM2Onsx7vL6XQH6wInAd3M52vZxVOP+n6zC0=,3551be1c7088f197cbb1c73f20cb0c238cee4bc47b9b5c5fce8661b0b44b7811,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,02997433a791d54072e6381db9de0d0bd1979e87fb1b1a1ed478ea23895854db,VKiHIggc6G3QOVHAi5IYddO/OGHmpOTvnU1CrWnyENg=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,,,,,,,,,,,,,,,,,5f7d71cd68abda931761615127311cc202e9979ac143c9639740a052d858f6d8,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_019_r5_3551be1c7088f197__5f7d71cd68abda93.json,,,,,,,,,,,,,c6d15a97411ab01d84ee6d66ed5a4630c57d7e0ab6d1de71fc2a4cdeb3d4e89f,e7fdd6e168c5ec3191f957083b16ab5f90870a0435561ffd6fb0c210c36d81dd,,
10,d2f50713e1a2e05ba8b7f3b02013500f,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:49.086081+00:00,TADP-SEC/12.1,CLIENT_CIPHERTEXT_BINDING,T1_Plain_TADP,,,,client_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIPHERTEXT_BOUND_TO_SIGNED_UPDATE,,,,,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,,,,,,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,,,,,,,,,,5,VERIFIED,,,,,True,,,,,False,jHlvnj/dM2Onsx7vL6XQH6wInAd3M52vZxVOP+n6zC0=,3551be1c7088f197cbb1c73f20cb0c238cee4bc47b9b5c5fce8661b0b44b7811,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,dc31c3f53b666998533eb3dd11a7909312367ff303a3e9bb2b726b41fb37102f,VKiHIggc6G3QOVHAi5IYddO/OGHmpOTvnU1CrWnyENg=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,plaintext_update_no_noise,reference_python,n=|logq=|scale=|scheme=plain,plain,,,,,,,,,f62b50d3caea7cf4611c959678972abe038d2491a4a70a626fc75d5554207aa0,,7c62f8e59f0dcf1bae3e3742745b9e1654e443112c14cc20e3fc197d3c28951e,audit_trails/artifacts/ciphertext_attestations/T1_Plain_TADP_client_019_r5_f90ffd9b88cc628e__7c62f8e59f0dcf1b.json,,,,,,,,,,,,,,,e7fdd6e168c5ec3191f957083b16ab5f90870a0435561ffd6fb0c210c36d81dd,6e867f5e6b36de195155069a56a35a6ba1f14aec0cd8dc42693f6c74e95da860,,
11,ccafc8e3cf5cf23702a860ec6e6c702c,1b4a6801551e03ede3d1fd3b2a925369a1a9340b9534985bd5de41c275ce61d5,2026-08-22T17:40:50.319907+00:00,TADP-SEC/12.1,CLIENT_ACCEPTED_SUBMISSION,T1_Plain_TADP,,,,client_019,,,,,,,,,,,2.3-phase1-fixed-threshold-critical-floor-review-profile,47dd2e58be138865a6d591a63329509757be6b563afb2badb96beb09eac726e5,56b4fb2affa245e3487f6c928dcaeeb1807d9c1774377c9ea8c19b6c12c04b5f,0b63224f5f8fc55ac0508e4e5f3111057514756b17908c70a0a45838a39423a8,13399fb1f3fbd33186ef46eb11234353e247a77c5802a087ce3480fa51fa1de5,VALIDATED_EVIDENCE_BUNDLE,,,,,,,,,,,,,,,,,,,,,,,,UPDATE_SUBMITTED_ENFORCED,,False,NOT_REQUIRED_AUTOMATED_POLICY,False,,,,,,,,,,,,,C1_PUBLIC,1,,,,,,,,35de995b0c4290be5f601a67b019e1947579d2965559dafbd60d21667bfcebc8,abf27cb6a6eea944b7190190b3c5c2ab4637b6b7fcd670b80d5ffd3405f96a05,,,2026-08-23T17:18:04.591571+00:00,47e8cc0fe5b1697a3806f5393cfbd09d,,,,,02a004077765517e54657a1072e98c5ff8b30be1276296850f021743aa43481c,78017c76e31288027c7db8223d4e56a84da9c1b408d2bc35093da2930a70d20b,,,2026-08-22T18:40:43.929834+00:00,eb562985f77fc8a152d2d22d15bfd3f4695b107bdaa4c375fc5dde2be0f10805,active,,,6,ACCEPTED,ALL_BASELINE_CONTROLS,,,,True,True,True,True,True,False,clT7dLp7msdGtJreA4W1/MdnYSIPlMb9CAXiGwYwuEo=,aa3f1383672f8916d162014ab96734be3c965f4a7eb78f83b35a447577dc0ec7,5ZlleMsSDugCMC4gBNUUsdbR2JR6EfcvDkpCMRVT7L8=,12fa3338c800015722b9dbd75b9cb1de88dbc4d4fbf24356fc15d2b171a2e7dd,q9ael3rUOdUmgJ4uJC0EQITbJxDYH3d9LVPNto7vJYI=,29ac3bebc7d8bf95fc566b7fd18bb82a91593b8a3a0877f87ec4350551f94d53,,,,,,,,,,,,,,,,,187b73f28ea8990213a5473a6d7a023321b4a9ae53ca0ece82b80f1d459f9fd5,audit_trails/artifacts/accepted_runtime_submissions/T1_Plain_TADP_client_019_r6_aa3f1383672f8916__187b73f28ea89902.json,,,,,,,,,,,,,6e867f5e6b36de195155069a56a35a6ba1f14aec0cd8dc42693f6c74e95da860,7455a0302ae184890c7fba132c2bbea2dc1406879ae52de98106f2b751f26a52,,
